scan_id,timestamp,payload,rack,shelf,item,cx_pct,cy_pct
SCAN_1000,2025-12-03T05:05:23.768673,R07_S4_ITM941,R07,S4,ITM941,69.13,31.21
SCAN_1001,2025-12-03T05:05:23.793835,R04_S3_ITM132,R04,S3,ITM132,51.49,26.7
SCAN_1002,2025-12-03T05:05:23.807943,R01_S5_ITM382,R01,S5,ITM382,87.04,11.33
SCAN_1003,2025-12-03T05:05:23.829391,R08_S5_ITM765,R08,S5,ITM765,27.82,16.78
SCAN_1004,2025-12-03T05:05:23.851202,R07_S5_ITM545,R07,S5,ITM545,76.28,67.93
SCAN_1005,2025-12-03T05:05:23.869757,R08_S2_ITM922,R08,S2,ITM922,8.42,33.18
SCAN_1006,2025-12-03T05:05:23.891694,R08_S3_ITM791,R08,S3,ITM791,33.9,7.68
SCAN_1007,2025-12-03T05:05:23.913189,R05_S5_ITM718,R05,S5,ITM718,59.22,55.63
SCAN_1008,2025-12-03T05:05:23.938373,R02_S3_ITM603,R02,S3,ITM603,74.37,69.26
SCAN_1009,2025-12-03T05:05:23.962443,R02_S4_ITM482,R02,S4,ITM482,80.7,71.48
SCAN_1000,2025-12-03 05:09:05,R08_S2_ITM651,R08,S2,ITM651,45.62,40.29
SCAN_1001,2025-12-03 05:09:06,R07_S4_ITM422,R07,S4,ITM422,8.91,60.76
SCAN_1002,2025-12-03 05:09:06,R08_S1_ITM160,R08,S1,ITM160,23.31,64.65
SCAN_1003,2025-12-03 05:09:06,R06_S5_ITM417,R06,S5,ITM417,75.06,72.46
SCAN_1004,2025-12-03 05:09:06,R06_S3_ITM694,R06,S3,ITM694,36.7,57.2
SCAN_1005,2025-12-03 05:09:06,R03_S1_ITM613,R03,S1,ITM613,77.38,50.01
SCAN_1006,2025-12-03 05:09:06,R09_S2_ITM391,R09,S2,ITM391,12.56,14.78
SCAN_1007,2025-12-03 05:09:06,R04_S5_ITM399,R04,S5,ITM399,20.61,40.11
SCAN_1008,2025-12-03 05:09:06,R02_S5_ITM939,R02,S5,ITM939,79.17,67.75
SCAN_1009,2025-12-03 05:09:06,R09_S2_ITM361,R09,S2,ITM361,75.89,94.63
SCAN_1000,2025-12-03 05:25:46,R06_S2_ITM625,R06,S2,ITM625,15.0,34.33
SCAN_1001,2025-12-03 05:25:46,R08_S2_ITM270,R08,S2,ITM270,32.74,63.51
SCAN_1002,2025-12-03 05:25:46,R07_S3_ITM622,R07,S3,ITM622,10.95,70.03
SCAN_1003,2025-12-03 05:25:46,R03_S1_ITM447,R03,S1,ITM447,57.34,76.8
SCAN_1004,2025-12-03 05:25:46,R01_S4_ITM543,R01,S4,ITM543,81.3,21.8
SCAN_1005,2025-12-03 05:25:46,R01_S2_ITM484,R01,S2,ITM484,73.62,78.35
SCAN_1006,2025-12-03 05:25:46,R06_S2_ITM719,R06,S2,ITM719,54.7,47.16
SCAN_1007,2025-12-03 05:25:46,R04_S4_ITM587,R04,S4,ITM587,87.13,10.36
SCAN_1008,2025-12-03 05:25:46,R05_S3_ITM602,R05,S3,ITM602,15.73,45.07
SCAN_1009,2025-12-03 05:25:46,R05_S4_ITM251,R05,S4,ITM251,10.91,16.16
